N_exp,N,Runtime,Name
10^10,10000000000,0.062306333,Double Hashing
10^11,100000000000,0.402629421,Double Hashing
10^12,1000000000000,2.419260402,Double Hashing
10^13,10000000000000,12.050636884,Double Hashing
10^10,10000000000,0.111337054,Bucket Hashing (8)
10^11,100000000000,0.556248815,Bucket Hashing (8)
10^12,1000000000000,3.246102980,Bucket Hashing (8)
10^13,10000000000000,17.599256810,Bucket Hashing (8)
10^10,10000000000,0.908933003,STL Hashset
10^11,100000000000,6.542408169,STL Hashset
10^12,1000000000000,38.752188262,STL Hashset
10^10,10000000000,0.488205250,STL Unordered
10^11,100000000000,2.646524188,STL Unordered
10^12,1000000000000,14.042965554,STL Unordered
10^10,10000000000,0.101376689,Ramasort Opt
10^11,100000000000,0.510173299,Ramasort Opt
10^12,1000000000000,2.557034518,Ramasort Opt
10^13,10000000000000,13.232476276,Ramasort Opt
10^10,10000000000,0.164543032,Ramanujan Opt
10^11,100000000000,0.884087453,Ramanujan Opt
10^12,1000000000000,4.672764981,Ramanujan Opt
10^13,10000000000000,25.803117190,Ramanujan Opt

